object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,t0,duration,depth,rp,teq,insolation,stellar_teff,stellar_logg,stellar_radius,ra,dec
419957393,tess,0.001011192753046609,0.1,non-planet,candidate,PC,5.8903558,2459448.624749,2.5374738,8410.6143369,,1009.241068,245.1888178,5780.0,4.438,,31.106453,3.99893
369480087,tess,0.00046076783584752737,0.05,non-planet,non-planet,FP,0.3643225,2459447.841312,0.2120684,38216.7895418,6.9527391,1086.4738962,329.3048956,3473.0,4.87657,0.347331,23.304228,5.645209
376981340,tess,0.0038078808537119063,0.38,non-planet,non-planet,FA,4.0249712,2459448.108233,2.5421502,20420.7314775,10.8574371,827.5576787,110.8444857,4492.0,4.51578,0.770497,19.609812,6.8168
384888319,tess,0.023542380277922548,2.35,non-planet,candidate,PC,5.8795752,2459448.511683,2.0778157,1352.7622114,1.8721219,498.6247907,14.6088648,3611.0,4.74,0.492759,16.968846,12.880955
251039147,tess,0.017116023096076193,1.71,non-planet,candidate,PC,6.6629951,2459450.837437,1.3454748,949.4386612,3.7022837,1021.2631882,257.0820256,5975.0,4.42,1.07392,340.59158,-6.87105
153077621,tess,0.006348460827737819,0.63,non-planet,non-planet,APC,18.0826084,2458396.13818,2.3867987,8002.7855656,3.911716,465.1025269,11.0589985,3321.0,4.95373,0.296,49.659937,-42.642329
388816604,tess,0.0020349523834200527,0.2,non-planet,candidate,PC,2.5048178,2460230.91969,2.077,1723.0,3.9467,1282.0,448.655,5328.0,4.47,0.92,18.588433,1.004796
293432942,tess,1.515885936050118e-06,0.0,non-planet,non-planet,APC,1.1339769,2459496.050413,0.852,630.0,,1384.0,609.124,5986.2,,,26.308509,3.51364
4464022,tess,0.00010651352422230126,0.01,non-planet,candidate,PC,5.9167817,2460228.304561,1.286,27909.0,18.1119,577.0,18.5055,4781.0,4.29,1.05,346.592747,-9.201478
435336785,tess,8.49269423417644e-06,0.0,non-planet,candidate,PC,5.7740318,2460212.247805,4.551,4820.0,24.6129,1412.0,660.328,4837.8,,3.19,55.140851,13.552772
25911962,tess,1.8061938480679733e-05,0.0,non-planet,candidate,PC,0.745637,2460232.738875,0.671,932.0,7.71235,2202.0,3906.17,6984.0,4.04,1.96,51.440653,23.188666
21130820,tess,2.8360713542677343e-05,0.0,non-planet,candidate,PC,4.6003967,2460229.837135,1.402,1130.0,5.39503,,82.7066,5970.5,,1.59,36.34112,25.530678
9030119,tess,0.00346761727762046,0.35,non-planet,candidate,PC,3.3129214,2460231.218276,2.097,1815.0,4.28877,1119.0,260.965,5512.0,4.44,0.98,355.702386,-9.588712
400972123,tess,2.3144688316284192e-05,0.0,non-planet,candidate,PC,1.8868756,2460093.051522,2.393,368.0,4.8297,2734.0,9275.7,7751.0,3.81,2.57,167.819807,-68.472537
248250955,tess,0.008171809945245407,0.82,non-planet,candidate,PC,0.3011506,2459361.882335,0.6404841,1457.6973975,1.2801124,1027.596418,263.5186329,3304.0,4.96212,0.286178,264.714256,-47.637046
383721338,tess,0.004287033339877378,0.43,non-planet,candidate,PC,20.3129649,2459422.817477,7.1852402,5194.3258042,10.8026737,866.2905237,133.0991422,6490.0,4.23,1.4658999,278.186572,43.25282
369768787,tess,0.0006771524636466746,0.07,non-planet,candidate,PC,39.1076478,2458605.029306,9.0245368,337.4561615,1.4669377,458.2261962,10.4193507,5490.0,4.61819,0.796293,144.319335,-84.696258
141770198,tess,0.0002526586793737583,0.03,non-planet,candidate,PC,522.6272677,2458523.844604,9.8639237,238.5844154,2.2445426,279.9010524,1.4505715,6199.0,4.21534,1.40973,91.875497,-76.69059
107018378,tess,0.016126657544616698,1.61,non-planet,candidate,PC,3.792456,2458570.930851,1.2264922,3553.2788818,1.4571721,414.6491761,6.9862517,3319.0,5.03236,0.218553,182.925066,-32.53258
258917846,tess,0.00041042453570628825,0.04,non-planet,candidate,PC,32.291901,2458605.104346,8.0916468,1517.2139238,5.1460938,616.6120377,34.1640224,6013.0,4.438,1.23318,197.912511,-47.45457
220414682,tess,0.0001036367459481483,0.01,non-planet,candidate,PC,6.5812768,2458325.445967,4.663367,55.2290807,1.6765354,1005.888008,241.9466004,5217.0,4.438,2.2631199,71.112335,-59.321447
77228304,tess,0.0034842891934623384,0.35,non-planet,non-planet,FP,0.336826,2458410.95064,0.883311,18251.292089,15.240658,2619.630824,11129.6464735,5780.0,4.438,1.0,69.116563,-41.246194
