object_id,mission,proba_planet,confidence_pct,category,nasa_category,label_text,period,rp,teq,insolation,eccentricity,sma,sy_snum,sy_pnum,stellar_teff,stellar_logg,stellar_radius,stellar_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 217855533.01,k2,8.062771668528384e-08,0.0,non-planet,candidate,CANDIDATE,21.587326,1.78061635,,,,,1.0,0.0,6244.0,4.11,1.466377,,290.052055,-19.843218,282.4672,10.838,8.983,
EPIC 218170789.01,k2,1.8899510276482748e-06,0.0,non-planet,candidate,CANDIDATE,3.041617,8.9894717,,,,,1.0,0.0,5250.0,4.31,0.873673,,282.7778385,-19.284618,571.458,13.206,10.627,12.8942
EPIC 218170789.01,k2,1.8899510276482748e-06,0.0,non-planet,candidate,CANDIDATE,3.04108,11.9,,,,,1.0,0.0,,,1.91,,282.7778385,-19.284618,571.458,13.206,10.627,12.8942
EPIC 218170789.01,k2,6.826461093227886e-08,0.0,non-planet,candidate,CANDIDATE,3.041617,8.9894717,,,,,1.0,0.0,5250.0,4.31,0.873673,,282.7778385,-19.284618,571.458,13.206,10.627,12.8942
EPIC 218170789.01,k2,6.826461093227886e-08,0.0,non-planet,candidate,CANDIDATE,3.04108,11.9,,,,,1.0,0.0,,,1.91,,282.7778385,-19.284618,571.458,13.206,10.627,12.8942
EPIC 218195416.01,k2,3.419197870294499e-08,0.0,non-planet,candidate,CANDIDATE,0.4951253,28.8,,,,,1.0,0.0,,,1.87,,283.6596688,-19.2399189,823.927,11.831,10.962,11.8748
EPIC 218300572.01,k2,4.766081038177158e-08,0.0,non-planet,candidate,CANDIDATE,1.589843,49.0,,,,,1.0,0.0,,,3.93,,282.1593738,-19.051064,1030.66,12.101,10.409,11.9134
EPIC 218304292.01,k2,8.342425095668455e-08,0.0,non-planet,candidate,CANDIDATE,8.42177,3.13,,,,,1.0,0.0,,,1.0511,,288.2245357,-19.0444581,380.932,12.663,11.028,12.5066
EPIC 218304292.01,k2,8.342425095668455e-08,0.0,non-planet,candidate,CANDIDATE,8.421659,3.45758743,,,,,1.0,0.0,5779.0,4.13,1.229497,,288.2245357,-19.0444581,380.932,12.663,11.028,12.5066
EPIC 218304292.01,k2,3.802554916159757e-06,0.0,non-planet,candidate,CANDIDATE,8.42177,3.13,,,,,1.0,0.0,,,1.0511,,288.2245357,-19.0444581,380.932,12.663,11.028,12.5066
EPIC 218304292.01,k2,3.802554916159757e-06,0.0,non-planet,candidate,CANDIDATE,8.421659,3.45758743,,,,,1.0,0.0,5779.0,4.13,1.229497,,288.2245357,-19.0444581,380.932,12.663,11.028,12.5066
EPIC 218332621.01,k2,6.453921498367746e-08,0.0,non-planet,candidate,CANDIDATE,9.811589,4.253,,,,,1.0,0.0,5953.0,4.066,1.882,1.506,282.116081,-18.9933747,685.16,12.942,11.096,12.7616
EPIC 218621322.01,k2,5.5814038824481795e-06,0.0,non-planet,candidate,CANDIDATE,11.5843558517,5.49928933,651.38,42.5453,,,1.0,0.0,5631.0,4.36,1.09295,,285.4688322,-18.4681649,299.538,12.594,10.586,12.3531
EPIC 218621322.01,k2,5.5814038824481795e-06,0.0,non-planet,candidate,CANDIDATE,11.587502,21.9,,,,,1.0,0.0,,,1.0,,285.4688322,-18.4681649,299.538,12.594,10.586,12.3531
EPIC 218621322.01,k2,6.296780103392149e-08,0.0,non-planet,candidate,CANDIDATE,11.5843558517,5.49928933,651.38,42.5453,,,1.0,0.0,5631.0,4.36,1.09295,,285.4688322,-18.4681649,299.538,12.594,10.586,12.3531
EPIC 218621322.01,k2,6.296780103392149e-08,0.0,non-planet,candidate,CANDIDATE,11.587502,21.9,,,,,1.0,0.0,,,1.0,,285.4688322,-18.4681649,299.538,12.594,10.586,12.3531
EPIC 218695436.01,k2,3.382460726258295e-08,0.0,non-planet,candidate,CANDIDATE,1.549318,42.6,,,,,1.0,0.0,,,1.67,,290.3330112,-18.3290391,473.822,12.079,10.645,11.9337
